property_type,location,price,features
"3 Bedrooms Flat, All Rooms Ensuite With Guest Toilet","Magodo Gra Phase 2, Ikeja, Lagos","2,300,000 per annum",3 Bedrooms4 Bathrooms4 Toilets10 Parking Spaces Save
Executive 3 Bedrooms Apartment,"Agbaje Street, Alapere, Ketu, Lagos","600,000 per annum",3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
2 Bedrooms Flat,"Off Palace Road, Oniru, Victoria Island (VI), Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
Luxury 1 Bedroom Apartment With Excellent Finishing,"Alapere, Ketu, Lagos","600,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
Newly Built Mini Flat,"Ado, Ajah, Lagos","500,000 per annum",1 Bedroom1 Bathroom2 Toilets5 Parking Spaces Save
2 Bedroom Apartment,"Banana Island, Ikoyi, Lagos","8,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Stardard Spacious Three Bedroom Flat Pop Ceiling 9ice Kitchen,"Amule, Ipaja, Lagos","900,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
Neat Roomself Contained All Tiles Floor,"Command, Ipaja, Lagos","150,000 per annum",1 Bathroom1 Toilet Save
Executive Serviced 1 Bedroom Apartment,"Victoria Island (VI), Lagos","2,500,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
A Lovely And Nice Well Finished Mini Flat,"Wasilat Dawodu Street, Ijesha, Surulere, Lagos","500,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Fully Furnished And Serviced 2 Bedroom Apartment,"Alli Balogun Estate, Adeniyi Jones, Ikeja, Lagos","3,000,000 per annum",2 Bedrooms2 Bathrooms2 Toilets Save
Nice Room Self Contained With Wardroom And Store,"Opebi, Ikeja, Lagos","450,000 per annum",1 Bathroom1 Toilet Save
Spacious 2 Bedroom Office Space,"Shipeolu Street, Palmgrove, Shomolu, Lagos","850,000 per annum",2 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save
Spacious Mini Flat With Double Room Conveniences And Generator,"Gated Environment, Right Hand Side, Lekki Phase 1, Lekki, Lagos","1,600,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
Newly Built 1 Bedroom Mini Flat,"Glover By Simpson Street, Ebute Metta East, Yaba, Lagos","600,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Decent And Neat Mini Flat In An Estate,"Heritage Estate, Ipaja, Lagos","220,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
A Mini Flat,"Agungi, Lekki, Lagos","1,100,000 per annum",1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save
3 Bedroom Apartment,"Ilasan, Lekki, Lagos","2,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save
Newly Built 3 Bedroom Flat,"Shelewu Road, Igbogbo, Ikorodu, Lagos","400,000 per annum",3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save
Luxury 3 Bedroom Apartment With Bq. Pool. Gym. 24 Hours Power,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save
Executive 3 Bedrooms Apartment With Top Class Amenities,"Ikeja GRA, Ikeja, Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Waterfront Luxury Apartments,"Victoria Island Extension, Victoria Island (VI), Lagos","56,000 per annum 
approx. ₦22,358,699",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Apartment,"Ikoyi, Lagos","9,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
A Luxury And Services Bedrooms Flat With Pool,"Second Avenue Also Known As Abacha Estate, Ikoyi, Lagos","5,300,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Newly Built 3 Bedroom,"Abesan Extention, Ipaja, Lagos","650,000 per annum",3 Bedrooms3 Bathrooms4 Toilets645 sqm Total Area Save
Newly Built 2 Bedroom Flat,"Alhaji Ganiyu Street, Oke Afa, Isolo, Lagos","550,000 per annum",2 Bedrooms3 Bathrooms3 Toilets Save
Brand New 2 Bedroom Flat,"Canal Estate, Ago Palace, Isolo, Lagos","800,000",2 Bedrooms2 Bathrooms3 Toilets Save
A Very Sharp 2 Bedrooms Shared Apartment With A Pop Finishing,"Glorious Estate, Badore Road, Ajah, Lagos","320,000 per annum",1 Bathroom1 Toilet3 Parking Spaces Save
Brand New Mini Flat,"Off Ajayi Road, Ogba, Ikeja, Lagos","550,000 per annum",1 Bedroom2 Bathrooms1 Toilet3 Parking Spaces Save
Luxury 3 Bedroom Apartment,"Off Demurin Road, Alapere, Ketu, Lagos","550,000 per annum",3 Bedrooms1 Bathroom1 Toilet1 Parking Space Save
9 Units Of 3 Bedroom Serviced Flats,"Ikeja GRA, Ikeja, Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Newly Built Luxury 1 Bedroom Fully Furnished And Fully Serviced,"Ikeja GRA, Ikeja, Lagos","1,300,000 per annum",1 Bedroom2 Bathrooms2 Toilets5 Parking Spaces Save
A Fairly Used Mini Flat With An Extra Room,"Mende, Maryland, Lagos","550,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Decent 3 Bedroom Flat,"Obawole, Ogba, Ikeja, Lagos","600,000",3 Bedrooms2 Bathrooms3 Toilets Save
Very Nice And Spacious Room And Parlor Self Contained Apartment,"Ogbere Street, Off Ilaje Road, Bariga, Shomolu, Lagos","400,000 per annum",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
Very Spacious Room And Parlor Self Contained (bq Bungalow),"Norman Williams Street, Ikoyi, Lagos","900,000 per annum",1 Bathroom1 Toilet2 Parking Spaces Save
Nice 3 Bedroom Flat,"Kudirat Adenekan Street, Oke Afa, Isolo, Lagos","1,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets Save
Room And Parlor Self Contained With Necessary Facilities,"Gbadi Bus Stop, Agric, Ikorodu, Lagos","250,000 per annum",1 Bedroom1 Bathroom1 Toilet8 Parking Spaces Save
Renovated 2 Bedroom Flat With Necessary,"Alasalatu Bus/stop, Off Isawo Road, Agric, Ikorodu, Lagos","250,000 per annum",2 Bedrooms1 Bathroom1 Toilet10 Parking Spaces Save
Nice And Standard Mini Flat,"New Road Before Chevron Traffic Light, Lekki Expressway, Lekki, Lagos","700,000 per annum",1 Bedroom Save
Nice And Standard Self Contained With Wardrobe,"Nice Environment, Igbo Efon, Lekki, Lagos","500,000 per annum",  Save
Nice And Standard Self Contained With Kitchen,"Nice Environment, Igbo Efon, Lekki, Lagos","450,000 per annum",  Save
Newly Built Superb A Room Apartment,"Ikate, Lekki, Lagos","900,000 per annum",1 Bathroom1 Toilet1 Parking Space Save
Beautiful 3bedroom Flat At Mafoluku Oshodi Lagos,"Oshodi, Lagos","800,000 per annum",3 Bedrooms3 Bathrooms3 Toilets10 Parking Spaces Save
A Lovely And Nice Newly Built Mini Flat,"Off Ogunlana Drive, Ogunlana, Surulere, Lagos","700,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Newly Built Room Self Contained,"Banjoko, Baiyeku, Igbogbo, Ikorodu, Lagos","170,000",1 Bathroom1 Toilet5 Parking Spaces Save
Newly Built 2 Bedroom Flat,"10 Idris Ogunlaja Crescent, Majek, Ajah, Lagos","800,000 per annum",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
Luxury Brand New,"Aptech Estates, Sangotedo, Ajah, Lagos","700,000 per annum",1 Bedroom2 Bathrooms1 Toilet8 Parking Spaces Save
Luxury 2 Bedroom Apartment With Excellent Finishing,"Alapere, Ketu, Lagos","700,000",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
Brand New 3 Bedroom Flat,"Opic Estate, GRA, Isheri North, Lagos","900,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Luxury 2 Bedrooms Apartment With Excellent Finishing,"Alapere, Ketu, Lagos","800,000 per annum",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
Lovely 2 Bedroom Flat,"T.f. Kubuoye Road, Oniru, Lekki Phase 1, Lekki, Lagos","2,500,000 per annum",2 Bedrooms2 Bathrooms2 Toilets Save
Brand New Mini Flat,"Badore, Ajah, Lagos","600,000 per annum",1 Bedroom2 Bathrooms2 Toilets Save
Luxurious And Stylishly Built (2)bedroom Flat,"Gbagada, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Brand New Studio Apartment,"1, Chief Pascal Close, Awoyaya, Ibeju Lekki, Lagos","250,000 per annum",1 Bathroom1 Toilet1 Parking Space Save
3 Bedroom Serviced Apartment,"Lekki Phase 1, Lekki, Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Luxury 2 Bedroom Apartment,"Badore, Ajah, Lagos","900,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Luxury 2 Bedroom Flat,"Road 2, Sangotedo, Ajah, Lagos","650,000 per annum",2 Bedrooms3 Bathrooms2 Toilets5 Parking Spaces Save
Tastefully Finished 3 Bedroom Flat,"Off Community Road, Okota, Isolo, Lagos","750,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Newly Built 3 Bedroom Flat,"By Community Road, Okota, Isolo, Lagos","1,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built 2 Bedroom Apartment,"Jakande, Lekki, Lagos","2,200,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Furnished Medium Sized Bq (room Self Contained),"Ikate, Lekki, Lagos","600,000 per annum",1 Bathroom1 Toilet2 Parking Spaces Save
Decent 3 Bedroom Flat,"Kosofe, Ikosi, Ketu, Lagos","600,000 per annum",3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
Newly Built 2 Bedroom Flat,"Green Leave Estate, Ebute, Ikorodu, Lagos","500,000 per annum",2 Bedrooms3 Toilets Save
Newly Built 2 Bedroom Flat,"Ben Street, Igbogbo, Ikorodu, Lagos","250,000",2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
2 Bedroom Flat Upstairs,"Off Oladimeji Street, Lekki Phase 1, Lekki, Lagos","2,500,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
Luxury 3 Bedroom Apartment,"Lekki Phase 1, Lekki, Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
6 Units Of 2 Bedroom Flat,"Idado, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
Luxury 3 Bedrooom Flats With 1 Room Bq Each,"3/5 Ikoyi Crescent, Off Osborne Road., Osborne, Ikoyi, Lagos","8,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces Save
Well Maintain Flat,"Opebi, Ikeja, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets10 Parking Spaces Save
Luxury Self-contained With Excellent Facilities,"Ikate By Chisco, Ikate, Lekki, Lagos","400,000 per annum",1 Bathroom1 Toilet1 Parking Space100 sqm Total Area Save
Luxury 6 Units Of 3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Neat Room And Palour Mini Flat,"Ado, Ajah, Lagos","450,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
A 3 Bedroom Shared Apartment With A Big Wardrobe (up & Down),"Seaside Estate, Badore Road, Ajah, Lagos","300,000 per annum",1 Bathroom1 Toilet3 Parking Spaces Save
"A Newly Built 3 Bedrooms Apartment, Very Sharp With A Pop Finishing","Glorious Estate, Badore Road, Ajah, Lagos","900,000 per annum",3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save
Ground Floor Room Self Contained,"Ogba, Ikeja, Lagos","250,000",1 Bathroom1 Toilet Save
Newly Built Miniflat In A Well Developed Area,"Aboru, Iyana Ipaja, Ipaja, Lagos","250,000 per annum",1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save
3-bedroom Serviced Apartment,"Milverton Estate, Osapa, Lekki, Lagos","3,000,000 per annum",3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save
Room And Palour Mini Flat,"Sangotedo, Ajah, Lagos","600,000 per annum",1 Bedroom1 Bathroom1 Toilet10 Parking Spaces Save
4 Bedroom Terrence Flat,"Falomo, Ikoyi, Lagos","6,000,000",4 Bedrooms5 Bathrooms5 Toilets8 Parking Spaces Save
Fully Serviced 3 Bedroom Apartment With Bq,"Oniru, Victoria Island (VI), Lagos","4,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Luxury 2 Bedroom Flat,"Primewaters View Estate, Lekki Phase 1, Lekki, Lagos","2,800,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
A Newly Renovated Roomself Contained In A Shared Apartment,"Badore, Ajah, Lagos","250,000 per annum",1 Bathroom1 Toilet5 Parking Spaces Save
Decent And Neat Shared Apartment In A Secured And Serene Environment,"Mobil Road, Lekki, Lagos","450,000 per annum",1 Bathroom1 Toilet10 Parking Spaces648 sqm Total Area Save
Neat And Decent 2 Bedroom At Good Location,"Okerube Abaranje, Ikotun, Lagos","300,000 per annum",2 Bedrooms3 Bathrooms3 Toilets10 Parking Spaces Save
Newly Built 3 Bedroom Flat,"New London, Baruwa, Ipaja, Lagos","500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets400 Parking Spaces Save
Very Neat Room Self Contained,"Maternity Estate Igbogbo Baiyeku Road, Igbogbo, Ikorodu, Lagos","80,000 per annum",1 Bathroom1 Toilet3 Parking Spaces Save
A Lovely Luxury Mini Flat,"Jibowu, Yaba, Lagos","500,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
A Standard Roomself Contained In A Shared Apartment In A Mini Estate,"Osapa London, Osapa, Lekki, Lagos","800,000 per annum",1 Bathroom2 Toilets2 Parking Spaces Save
1 Bedroom Flat,"Ebute Kekere Street, Akesan, Alimosho, Lagos","170,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Fully Serviced And Nicely Finished 1 Bedroom Flat,"By Chevron Toll Gate, Lekki, Lagos","1,000,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Fully Serviced And Spacious Two (2) Bedroom Flat,"Lekki, Lagos","1,600,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
"Fully Serviced, Spacious & Luxury 3 Bedroom Flat","Lekki, Lagos","2,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Very Neat And Affordable Two Bedroom Apartment,"Lfi Estate, Igbogbo Baiyeku Road Ikorodu, Igbogbo, Ikorodu, Lagos","200,000 per annum",2 Bedrooms2 Bathrooms3 Toilets4 Parking Spaces Save
Newly Built 3 Bedroom Flat,"Royban, Igbogbo, Ikorodu, Lagos","300,000 per annum",3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
Pop Finished 2 Bedroom Flat,"Unity Bustop Along Bayeku Road, Igbogbo, Ikorodu, Lagos","250,000 per annum",2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
Brand New 2 Bedroom Flat,"Ilasan, Lekki, Lagos","1,300,000 per annum",2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save
Upstairs Room And Parlour Self Contained,"Micheal Street, Igbogbo, Ikorodu, Lagos","150,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Decent And Neat 2 Bedroom At Good Price,"Unique Estate, Baruwa, Ipaja, Lagos","300,000 per annum",2 Bedrooms2 Bathrooms2 Toilets5 Parking Spaces Save
4 Bedroom Duplex,"Lekki Phase 1, Lekki, Lagos","2,500,000 per annum",4 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces Save
3 Bedroom Flat,"Ikota, Lekki, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Spacious Room Self Contained.,"Macaulay Area., Igbogbo, Ikorodu, Lagos","84,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
A Room And Parlour Self Contained.,"Low Cost Housing Estate, Igbogbo, Ikorodu, Lagos","200,000 per annum",1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save
3 Bedroom Flat.,"Bode Thomas, Surulere, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms2 Toilets4 Parking Spaces Save
A Lovely 3 Bedroom Flat With Modern Facilities.,"Akoka, Yaba, Lagos","1,100,000 per annum",3 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save
A Brand New Spacious 3 Bedroom Flat Upstairs.,"Off Gbagada Road., Bariga, Shomolu, Lagos","1,100,000 per annum",3 Bedrooms3 Bathrooms4 Toilets12 Parking Spaces Save
3 Bedrooms,"Banana Island Estate, Ikoyi, Lagos","15,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Lovely 3 Bedrooms Flat,"Allen, Ikeja, Lagos","1,500,000 per annum",3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
"Renovated 2 Bedrooms Flat, 2 Bathroom","Ademola Eletu, Osapa London, Osapa, Lekki, Lagos","1,600,000 per annum",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
One Room Self-contained,"Lekki Phase 1, Lekki, Lagos","700,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
One Room Self Contained,"Lekki Phase 1, Lekki, Lagos","800,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
One Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","1,500,000 per annum",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
Well Located 3 Bedroom Flat,"Spark Light Estate, Opic, Isheri North, Lagos","800,000 per annum",3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","3,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
3 Bedroom Flat,"Lekki Phase 1, Lekki, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built Room And Parlour Apartment,"Ikorodu, Lagos","250,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
A Lovely 3 Bedrooms Flat (all Rooms Ensuite),"Okota, Isolo, Lagos","900,000 per annum",  Save
Studio Apartment,"Banana Island, Ikoyi, Lagos","6,000,000 per annum",1 Parking Space Save
"3 Bedrooms Flat, Three Tenants In Compound","Agbebi Street, Ijesha, Surulere, Lagos","600,000 per annum",3 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save
Mini Flat With Toilet & Kitchen,"Fehintola Giwa Street, Aguda, Surulere, Lagos","350,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
"Luxurious Newly Built 3 Bedrooms Flat, 3 In The Compound","Thomas Estate, Ajiwe, Ajah, Lagos","1,600,000 per annum",3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save
Luxury 3 Bedrooms Apartment With Bq And 24 Hours Light,"Victoria Island (VI), Lagos","7,000,000 per annum",3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
Clean 2 Bedrooms Flat,"Stamford Street, Igbogbo, Ikorodu, Lagos","200,000 per annum",2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save
3 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","8,500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Spacious 3 Bedroom Flat,"Ejimba Close, Ado Road, Ajah, Lagos","1,200,000 per annum",3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save
2 Bedrooms Furnished Apartment,"Ikoyi, Lagos","8,000,000 per annum",2 Bedrooms Save
2 Bedroom Furnished Apartment,"Old Ikoyi, Ikoyi, Lagos","8,000,000 per annum",2 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save
2 Bedrooms Apartment,"Banana Island, Ikoyi, Lagos","6,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
New 3 Bedrooms Flat,"Mabo Street, Off Ishaga Road, Ojuelegba, Surulere, Lagos","1,100,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Affordable Clean 2 Bedrooms Flat,"Unique Estate, Baruwa, Ipaja, Lagos","300,000 per annum",2 Bedrooms2 Bathrooms2 Toilets10 Parking Spaces Save
3 Bedrooms Flat,"Lekki Phase 1, Lekki, Lagos","2,700,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
3 Bedrooms Flat,"Asoland Street, Beesam, Mafoluku, Oshodi, Lagos","700,000 per annum",3 Bedrooms Save
Newly Built Mini Flat,"Ladilak, Bariga, Shomolu, Lagos","500,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Newly Built Mini Flat,"Ladilak, Bariga, Shomolu, Lagos","400,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
Affordable 2 Bedrooms Flat,"Kola, Ait, Alagbado, Alimosho, Lagos","250,000 per annum",2 Bedrooms2 Bathrooms2 Toilets9 Parking Spaces Save
3 Bedrooms Flat,"Allen, Ikeja, Lagos","1,500,000 per annum",3 Bedrooms4 Toilets900 sqm Total Area900 sqm Covered Area Save
Newly Built Room And Parlour,"Irawo, Mile 12, Kosofe, Lagos","350,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
Newly Built 4 Units 3 Bedrooms Flat,"Theo Ehizibue Street, Behind Gateway Sparklight Housing Estate, Magboro, Ogun","500,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Luxury 3 Bedrooms Flat,"Parkview Estate, Ikoyi, Lagos","5,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Newly Built 2bedroom Flats All Rooms Ensuite,"Queen Steet Herbert Macauley Road Oyadiran Estate, Alagomeji, Yaba, Lagos","1,600,000 per annum",2 Bedrooms3 Bathrooms3 Toilets5 Parking Spaces Save
Three Bedrooms Flat,"Opposite Lagos Business School, Olokonla, Ajah, Lagos","1,700,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Top Notch 3 Bedroom Flat,"Ikota, Lekki, Lagos","1,600,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Well Maintained 2 Bedrooms,"Opposite Lagos Business School, Olokonla, Ajah, Lagos","900,000 per annum",2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save
Luxurious 2 Bedrooms,"By Lagos Business School, Olokonla, Ajah, Lagos","900,000 per annum",2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save
4 Bedrooms Apartment,"Banana Island, Ikoyi, Lagos","10,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
4 Bedroom Penthouse Apartment,"Banana Island, Ikoyi, Lagos","12,000,000 per annum",4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save
"Luxury Room Self Contained, Serviced Apartment","21 Ameen Street, Abule Oja, Yaba, Lagos","600,000 per annum",1 Bedroom1 Bathroom1 Toilet1 Parking Space Save
Fully Serviced 3 Bedroom Apartment With Excellent Facilities,"Off Ahmadu Bello Way, Victoria Island (VI), Lagos","10,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Serviced 3 Bedrooms Flat With Fitted Kitched In A Mini Estate,"Alpha Beach, New Road, Igbo Efon, Lekki, Lagos","1,700,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Serviced 2 Bedrooms Flat In A Gated Mini Court With 24 Hours Power,"Conservation Road, Off Orchid Road, Lafiaji, Lekki, Lagos","2,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
"Clean, Pay And Park In 3 Bedrooms Flat, All Rooms Ensuite With Water Heater","Divine Estate, Bogije, Ibeju Lekki, Lagos","650,000 per annum",3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save
3 Bedroom Flat + Bq,"Adeniyi Jones, Ikeja, Lagos","3,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
